premise,hypothesis,label,Target_sentence_position,Experiment_or_filler,Number_of_propositions,Condition,group
The locker punched the boxer.,The locker punched the boxer.,entailment,na,Experimental,one,Transitive_implausible,
The novel read the student.,The novel read the student.,entailment,na,Experimental,one,Transitive_implausible,
The timber sawed the carpenter.,The timber sawed the carpenter.,entailment,na,Experimental,one,Transitive_implausible,
The money saved the firefighter.,The monei saved the firefighter.,entailment,na,Experimental,one,Transitive_implausible,
The window shattered the vandals.,The window shattered the vandals.,entailment,na,Experimental,one,Transitive_implausible,
The sail slashed the pirate.,The sail slashed the pirate.,entailment,na,Experimental,one,Transitive_implausible,
The tomato sliced the chef.,The tomato sliced the chef.,entailment,na,Experimental,one,Transitive_implausible,
The toy car smashed the child.,The toy car smashed the child.,entailment,na,Experimental,one,Transitive_implausible,
The ball squashed the player.,The ball squashed the player.,entailment,na,Experimental,one,Transitive_implausible,
The policy suggested the manager.,The police suggested the manager.,entailment,na,Experimental,one,Transitive_implausible,
The party skipped the student.,The party skipped the student.,entailment,na,Experimental,one,Transitive_implausible,
The canvas touched the artist.,The canvas touched the artist.,entailment,na,Experimental,one,Transitive_implausible,
The blender used the chef.,The blender used the chef.,entailment,na,Experimental,one,Transitive_implausible,
The electricity wasted the person.,The th electricitied waste the person.,entailment,na,Experimental,one,Transitive_implausible,
The engine was assembled by the mechanic.,The engine was assembled by the mechanic.,entailment,na,Experimental,one,Passive_plausible,
The wire was bent by the tailor.,The wire was bent by the tailor.,entailment,na,Experimental,one,Passive_plausible,
The apple was bitten by the child.,The apple was bitten by the child.,entailment,na,Experimental,one,Passive_plausible,
The ingredients were blended by the chef.,The ingredients were blended by the chef.,entailment,na,Experimental,one,Passive_plausible,
The statue was carved by the sculptor.,The statue was carved by the sculptor.,entailment,na,Experimental,one,Passive_plausible,
The vegetables were chopped by the chef.,The vegetables were chopped by the chef.,entailment,na,Experimental,one,Passive_plausible,
The floor was cleaned by the cleaner.,The floor was cleaned by the cleaner.,entailment,na,Experimental,one,Passive_plausible,
The stamps were collected by the collector.,The stamp was collected by the collector.,entailment,na,Experimental,one,Passive_plausible,
The meat was cut by the butcher.,The meat was cut by the butcher.,entailment,na,Experimental,one,Passive_plausible,
The landscape was described by the writer.,The landscape was described by the writer.,entailment,na,Experimental,one,Passive_plausible,
The building was destroyed by the crew.,The building was destroyed by the crew.,entailment,na,Experimental,one,Passive_plausible,
The house was designed by the architect.,The house was designed by the architect.,entailment,na,Experimental,one,Passive_plausible,
The cart was pushed by the student.,The cart was pushed by the student.,entailment,na,Experimental,one,Passive_plausible,
The portrait was drawn by the artist.,The portrait was drawn by the artist.,entailment,na,Experimental,one,Passive_plausible,
The concept was memorized by the teacher.,The concept was memorized by the teacher.,entailment,na,Experimental,one,Passive_plausible,
The metal was flattened by the blacksmith.,The metal was flattened by the blacksmith.,entailment,na,Experimental,one,Passive_plausible,
The paper was folded by the artist.,The paper was folded by the artist.,entailment,na,Experimental,one,Passive_plausible,
The nail was hammered by the carpenter.,The nail was hammered by the carpenter.,entailment,na,Experimental,one,Passive_plausible,
The system was hacked by the hacker.,The system was hacked by the hacker.,entailment,na,Experimental,one,Passive_plausible,
The wall was hit by the boxer.,The wall was hit by the boxer.,entailment,na,Experimental,one,Passive_plausible,
The ball was kicked by the player.,The ball was kicked by the player.,entailment,na,Experimental,one,Passive_plausible,
The door was knocked by the burglar.,The door was knocked by the burglar.,entailment,na,Experimental,one,Passive_plausible,
The bread was made by the baker.,The bread was made by the baker.,entailment,na,Experimental,one,Passive_plausible,
The metal was pounded by the blacksmith.,The metal was pounded by the blacksmith.,entailment,na,Experimental,one,Passive_plausible,
The cars were produced by the factory.,The cars were produced by the factory.,entailment,na,Experimental,one,Passive_plausible,
The environment was protected by the man.,The environment was protected by the man.,entailment,na,Experimental,one,Passive_plausible,
The sandbag was punched by the boxer.,The sandbag was punched by the boxer.,entailment,na,Experimental,one,Passive_plausible,
The magazine was read by the boy.,The magazine was read by the boy.,entailment,na,Experimental,one,Passive_plausible,
The wood was sawed by the carpenter.,The wood was sawed by the carpenter.,entailment,na,Experimental,one,Passive_plausible,
The life was saved by the firefighter.,The life was saved by the firefighter.,entailment,na,Experimental,one,Passive_plausible,
The window was shattered by the vandal.,The window was shattered by the vandal.,entailment,na,Experimental,one,Passive_plausible,
The sail was slashed by the pirate.,The sail was slashed by the pirate.,entailment,na,Experimental,one,Passive_plausible,
The bread was sliced by the chef.,The bread was sliced by the chef.,entailment,na,Experimental,one,Passive_plausible,
The toy was smashed by the child.,The toy was smashed by the child.,entailment,na,Experimental,one,Passive_plausible,
The ball was squashed by the player.,The ball was squashed by the player.,entailment,na,Experimental,one,Passive_plausible,
The idea was suggested by the boxer.,The idea was suggested by the boxer.,entailment,na,Experimental,one,Passive_plausible,
The class was skipped by the student.,The class was skipped by the student.,entailment,na,Experimental,one,Passive_plausible,
The canvas was touched by the artist.,The canvas was touched by the artist.,entailment,na,Experimental,one,Passive_plausible,
The knife was used by the chef.,The knife was used by the chef.,entailment,na,Experimental,one,Passive_plausible,
The water was wasted by the person.,The water was wasted by the person.,entailment,na,Experimental,one,Passive_plausible,
The bookshelf was assembled by the carpenter.,The bookshelf was assembled by the carpenter.,entailment,na,Experimental,one,Passive_plausible,
The mat was bent by the instructor.,The mat was bent by the instructor.,entailment,na,Experimental,one,Passive_plausible,
The chocolate was bitten by the child.,The chocolate was bitten by the child.,entailment,na,Experimental,one,Passive_plausible,
The cocktail was blended by the bartender.,The cocktail was blended by the bartender.,entailment,na,Experimental,one,Passive_plausible,
The statue was carved by the girl.,The statue was carved by the girl.,entailment,na,Experimental,one,Passive_plausible,
The onions were chopped by the chef.,The onions were chopped by the chef.,entailment,na,Experimental,one,Passive_plausible,
The windows were cleaned by the cleaner.,The windows were cleaned by the cleaner.,entailment,na,Experimental,one,Passive_plausible,
The coins were collected by the collector.,The coins were collected by the collector.,entailment,na,Experimental,one,Passive_plausible,
The fabric was cut by the tailor.,The fabric was cut by the tailor.,entailment,na,Experimental,one,Passive_plausible,
The monument was described by the guide.,The monument was described by the guide.,entailment,na,Experimental,one,Passive_plausible,
The building was destroyed by the crew.,The building was destroyed by the crew.,entailment,na,Experimental,one,Passive_plausible,
The logo was designed by the designer.,The logo was designed by the designer.,entailment,na,Experimental,one,Passive_plausible,
The button was pushed by the student.,The button was pushed by the student.,entailment,na,Experimental,one,Passive_plausible,
The landscape was drawn by the artist.,The landscape was drawn by the artist.,entailment,na,Experimental,one,Passive_plausible,
The lines were memorized by the boy.,The lines were memorized by the boy.,entailment,na,Experimental,one,Passive_plausible,
The plate was flattened by the ironworker.,The plate was flattened by the ironworker.,entailment,na,Experimental,one,Passive_plausible,
The crane was folded by the artist.,The crane was folded by the artist.,entailment,na,Experimental,one,Passive_plausible,
The metal was hammered by the blacksmith.,The metal was hammered by the blacksmith.,entailment,na,Experimental,one,Passive_plausible,
The computer was hacked by the kid.,The computer was hacked by the kid.,entailment,na,Experimental,one,Passive_plausible,
The bag was hit by the lady.,The bag was hit by the lady.,entailment,na,Experimental,one,Passive_plausible,
The door was kicked by the guy.,The door was kicked by the guy.,entailment,na,Experimental,one,Passive_plausible,
The door was knocked by the student.,The door was knocked by the student.,entailment,na,Experimental,one,Passive_plausible,
The cake was made by the baker.,The cake was made by the baker.,entailment,na,Experimental,one,Passive_plausible,
The metal was pounded by the worker.,The metal was pounded by the worker.,entailment,na,Experimental,one,Passive_plausible,
The smartphones were produced by the factory.,The smartphones were produced by the factory.,entailment,na,Experimental,one,Passive_plausible,
The building was protected by the soldiers.,The building was protected by the soldiers.,entailment,na,Experimental,one,Passive_plausible,
The locker was punched by the boxer.,The locker was punched by the boxer.,entailment,na,Experimental,one,Passive_plausible,
The kid was rescued by the student.,The kid was rescued by the student.,entailment,na,Experimental,one,Passive_plausible,
The timber was sawed by the carpenter.,The timber was sawed by the carpenter.,entailment,na,Experimental,one,Passive_plausible,
The money was saved by the firefighter.,The money was saved by the firefighter.,entailment,na,Experimental,one,Passive_plausible,
The window was shattered by the vandals.,The window was shattered by the vandals.,entailment,na,Experimental,one,Passive_plausible,
The sail was slashed by the pirate.,The sail was slashed by the pirate.,entailment,na,Experimental,one,Passive_plausible,
The tomato was sliced by the chef.,The tomato was sliced by the chef.,entailment,na,Experimental,one,Passive_plausible,
The toy car was smashed by the child.,The toy car was smashed by the child.,entailment,na,Experimental,one,Passive_plausible,
The ball was squashed by the player.,The ball was squashed by the player.,entailment,na,Experimental,one,Passive_plausible,
The policy was suggested by the manager.,The policy was suggested by the manager.,entailment,na,Experimental,one,Passive_plausible,
The party was skipped by the student.,The party was skipped by the student.,entailment,na,Experimental,one,Passive_plausible,
The canvas was touched by the artist.,The canvas was touched by the artist.,entailment,na,Experimental,one,Passive_plausible,
The blender was used by the chef.,The blender was used by the chef.,entailment,na,Experimental,one,Passive_plausible,
the Electricity was wasted by the person.,the electricity was wasted by the person.,entailment,na,Experimental,one,Passive_plausible,
The mechanic was assembled by the engine.,The mechanic was assembled by the engine.,entailment,na,Experimental,one,Passive_implausible,
The tailor was bent by the wire.,The tailor was bent by the wire.,entailment,na,Experimental,one,Passive_implausible,
The child was bitten by the apple.,The child was bitten by the apple.,entailment,na,Experimental,one,Passive_implausible,
The chef was blended by the ingredients.,The chef was blended by the ingredients.,entailment,na,Experimental,one,Passive_implausible,
The sculptor was carved by the statue.,The sculptor was carved by the statue.,entailment,na,Experimental,one,Passive_implausible,
The chef was chopped by the vegetables.,The chef was chopped by the vegetables.,entailment,na,Experimental,one,Passive_implausible,
The cleaner was cleaned by the floor.,The cleaner was cleaned by the floor.,entailment,na,Experimental,one,Passive_implausible,
The collector was collected by the stamps.,The collector was collected by the stamps.,entailment,na,Experimental,one,Passive_implausible,
The butcher was cut by the meat.,The butcher was cut by the meat.,entailment,na,Experimental,one,Passive_implausible,
The writer was described by the landscape.,The writer was described by the landscape.,entailment,na,Experimental,one,Passive_implausible,
The crew was destroyed by the building.,The crew was destroyed by the building.,entailment,na,Experimental,one,Passive_implausible,
The architect was designed by the house.,The architect was designed by the house.,entailment,na,Experimental,one,Passive_implausible,
The student was pushed by the cart.,The student was pushed by the cart.,entailment,na,Experimental,one,Passive_implausible,
The artist was drawn by the portrait.,The artist was drawn by the portrait.,entailment,na,Experimental,one,Passive_implausible,
The teacher was memorized by the concept.,The teacher was memorized by the concept.,entailment,na,Experimental,one,Passive_implausible,
The blacksmith was flattened by the metal.,The blacksmith was flattened by the metal.,entailment,na,Experimental,one,Passive_implausible,
The artist was folded by the paper.,The artist was folded by the paper.,entailment,na,Experimental,one,Passive_implausible,
The carpenter was hammered by the nail.,The carpenter was hammered by the nail.,entailment,na,Experimental,one,Passive_implausible,
The hacker was hacked by the system.,The hacker was hacked by the system.,entailment,na,Experimental,one,Passive_implausible,
The boxer was hit by the wall.,The boxer was hit by the wall.,entailment,na,Experimental,one,Passive_implausible,
The player was kicked by the ball.,The player was kicked by the ball.,entailment,na,Experimental,one,Passive_implausible,
The burglar was knocked by the door.,The burglar was knocked by the door.,entailment,na,Experimental,one,Passive_implausible,
The baker was made by the bread.,The baker was made by the bread.,entailment,na,Experimental,one,Passive_implausible,
The blacksmith was pounded by the metal.,The blacksmith was pounded by the metal.,entailment,na,Experimental,one,Passive_implausible,
The factory was produced by the cars.,The factory was produced by the cars.,entailment,na,Experimental,one,Passive_implausible,
The man was protected by the environment.,The man was protected by the environment.,entailment,na,Experimental,one,Passive_implausible,
The boxer was punched by the sandbag.,The boxer was punched by the sandbag.,entailment,na,Experimental,one,Passive_implausible,
The boy was read by the magazine.,The boy was read by the magazine.,entailment,na,Experimental,one,Passive_implausible,
The carpenter was sawed by the wood.,The carpenter was sawed by the wood.,entailment,na,Experimental,one,Passive_implausible,
The firefighter was saved by the life.,The firefighter was saved by the life.,entailment,na,Experimental,one,Passive_implausible,
The vandal was shattered by the window.,The vandal was shattered by the window.,entailment,na,Experimental,one,Passive_implausible,
The pirate was slashed by the sail.,The pirate was slashed by the sail.,entailment,na,Experimental,one,Passive_implausible,
The chef was sliced by the bread.,The chef was sliced by the bread.,entailment,na,Experimental,one,Passive_implausible,
The child was smashed by the toy.,The child was smashed by the toy.,entailment,na,Experimental,one,Passive_implausible,
The player was squashed by the ball.,The player was squashed by the ball.,entailment,na,Experimental,one,Passive_implausible,
The boxer was suggested by the idea.,The boxer was suggested by the idea.,entailment,na,Experimental,one,Passive_implausible,
The student was skipped by the class.,The student was skipped by the class.,entailment,na,Experimental,one,Passive_implausible,
The artist was touched by the canvas.,The artist was touched by the canvas.,entailment,na,Experimental,one,Passive_implausible,
The chef was used by the knife.,The chef was used by the knife.,entailment,na,Experimental,one,Passive_implausible,
The person was wasted by the water.,The person was wasted by the water.,entailment,na,Experimental,one,Passive_implausible,
The carpenter was assembled by the bookshelf.,The carpenter was assembled by the bookshelf.,entailment,na,Experimental,one,Passive_implausible,
The instructor was bent by the mat.,The instructor was bent by the mat.,entailment,na,Experimental,one,Passive_implausible,
The child was bitten by the chocolate.,The child was bitten by the chocolate.,entailment,na,Experimental,one,Passive_implausible,
The bartender was blended by the cocktail.,The bartender was blended by the cocktail.,entailment,na,Experimental,one,Passive_implausible,
The girl was carved by the statue.,The girl was carved by the statue.,entailment,na,Experimental,one,Passive_implausible,
The chef was chopped by the onions.,The chef was chopped by the onions.,entailment,na,Experimental,one,Passive_implausible,
The cleaner was cleaned by the windows.,The cleaner was cleaned by the windows.,entailment,na,Experimental,one,Passive_implausible,
The collector was collected by the coins.,The collector was collected by the coins.,entailment,na,Experimental,one,Passive_implausible,
The tailor was cut by the fabric.,The tailor was cut by the fabric.,entailment,na,Experimental,one,Passive_implausible,
The guide was described by the monument.,The guide was described by the monument.,entailment,na,Experimental,one,Passive_implausible,
The crew was destroyed by the building.,The crew was destroyed by the building.,entailment,na,Experimental,one,Passive_implausible,
The designer was designed by the logo.,The designer was designed by the logo.,entailment,na,Experimental,one,Passive_implausible,
The student was pushed by the button.,The student was pushed by the button.,entailment,na,Experimental,one,Passive_implausible,
The artist was drawn by the landscape.,The artist was drawn by the landscape.,entailment,na,Experimental,one,Passive_implausible,
The boy was memorized by the lines.,The boy was memorized by the lines.,entailment,na,Experimental,one,Passive_implausible,
The ironworker was flattened by the plate.,The ironworker was flattened by the plate.,entailment,na,Experimental,one,Passive_implausible,
The artist was folded by the crane.,The artist was folded by the crane.,entailment,na,Experimental,one,Passive_implausible,
The blacksmith was hammered by the metal.,The blacksmith was hammered by the metal.,entailment,na,Experimental,one,Passive_implausible,
