ItemID,Context,Question,Correct_answer,Target_sentence_position,Experimental_or_filler,Number_of_propositions,Condition
40,The person wasted the water.,Did the person waste the water?,Yes,na,Experimental,one,Transitive_plausible
41,The carpenter assembled the bookshelf.,Did the carpenter assemble the bookshelf?,Yes,na,Experimental,one,Transitive_plausible
42,The instructor bent the mat.,Did the instructor bend the mat?,Yes,na,Experimental,one,Transitive_plausible
43,The child bit the chocolate.,Did the child bite the chocolate?,Yes,na,Experimental,one,Transitive_plausible
44,The bartender blended the cocktail.,Did the bartender blend the cocktail?,Yes,na,Experimental,one,Transitive_plausible
45,The girl carved the statue.,Did the girl carve the statue?,Yes,na,Experimental,one,Transitive_plausible
46,The chef chopped the onions.,Did the chef chop the onions?,Yes,na,Experimental,one,Transitive_plausible
47,The cleaner cleaned the windows.,Did the cleaner clean the windows?,Yes,na,Experimental,one,Transitive_plausible
48,The collector collected the coins.,Did the collector collect the coins?,Yes,na,Experimental,one,Transitive_plausible
49,The tailor cut the fabric.,Did the tailor cut the fabric?,Yes,na,Experimental,one,Transitive_plausible
50,The guide described the monument.,Did the guide describe the monument?,Yes,na,Experimental,one,Transitive_plausible
51,The crew destroyed the facility.,Did the crew destroy the facility?,Yes,na,Experimental,one,Transitive_plausible
52,The designer designed the logo.,Did the designer design the logo?,Yes,na,Experimental,one,Transitive_plausible
53,The student pushed the button.,Did the student push the button?,Yes,na,Experimental,one,Transitive_plausible
54,The artist drew the landscape.,Did the artist draw the landscape?,Yes,na,Experimental,one,Transitive_plausible
55,The boy memorized the lines.,Did the boy memorize the lines?,Yes,na,Experimental,one,Transitive_plausible
56,The ironworker flattened the plate.,Did the ironworker flatten the plate?,Yes,na,Experimental,one,Transitive_plausible
57,The artist folded the crane.,Did the artist fold the crane?,Yes,na,Experimental,one,Transitive_plausible
58,The blacksmith hammered the metal.,Did the blacksmith hammer the metal?,Yes,na,Experimental,one,Transitive_plausible
59,The kid hacked the computer.,Did the kid hack the computer?,Yes,na,Experimental,one,Transitive_plausible
60,The lady hit the bag.,Did the lady hit the bag?,Yes,na,Experimental,one,Transitive_plausible
61,The guy kicked the door.,Did the guy kick the door?,Yes,na,Experimental,one,Transitive_plausible
62,The student knocked the door.,Did the student knock on the door?,Yes,na,Experimental,one,Transitive_plausible
63,The baker made the cake.,Did the baker make the cake?,Yes,na,Experimental,one,Transitive_plausible
64,The worker pounded the metal.,Did the worker pound the metal?,Yes,na,Experimental,one,Transitive_plausible
65,The factory produced the smartphones.,Did the factory produce the smartphones?,Yes,na,Experimental,one,Transitive_plausible
66,The soldiers protected the building.,Did the soldiers protect the building?,Yes,na,Experimental,one,Transitive_plausible
67,The boxer punched the locker.,Did the boxer punch the locker?,Yes,na,Experimental,one,Transitive_plausible
68,The student read the novel.,Did the student read the novel?,Yes,na,Experimental,one,Transitive_plausible
69,The carpenter sawed the timber.,Did the carpenter saw the timber?,Yes,na,Experimental,one,Transitive_plausible
70,The firefighter saved the money.,Did the firefighter save the money?,Yes,na,Experimental,one,Transitive_plausible
71,The vandals shattered the window.,Did the vandals shatter the window?,Yes,na,Experimental,one,Transitive_plausible
72,The pirate slashed the sail.,Did the pirate slash the sail?,Yes,na,Experimental,one,Transitive_plausible
73,The chef sliced the tomato.,Did the chef slice the tomato?,Yes,na,Experimental,one,Transitive_plausible
74,The child smashed the toy car.,Did the child smash the toy car?,Yes,na,Experimental,one,Transitive_plausible
75,The player squashed the ball.,Did the player squash the ball?,Yes,na,Experimental,one,Transitive_plausible
76,The manager suggested the policy.,Did the manager suggest the policy?,Yes,na,Experimental,one,Transitive_plausible
77,The student skipped the party.,Did the student skip the party?,Yes,na,Experimental,one,Transitive_plausible
78,The artist touched the canvas.,Did the artist touch the canvas?,Yes,na,Experimental,one,Transitive_plausible
79,The chef used the blender.,Did the chef use the blender?,Yes,na,Experimental,one,Transitive_plausible
80,The person wasted the electricity.,Did the person waste the electricity?,Yes,na,Experimental,one,Transitive_plausible
81,The engine assembled the mechanic.,Did the engine assemble the mechanic?,Yes,na,Experimental,one,Transitive_implausible
82,The wire bent the tailor.,Did the wire bend the tailor?,Yes,na,Experimental,one,Transitive_implausible
83,The apple bit the child.,Did the apple bite the child?,Yes,na,Experimental,one,Transitive_implausible
84,The ingredients blended the chef.,Did the ingredients blend the chef?,Yes,na,Experimental,one,Transitive_implausible
85,The statue carved the sculptor.,Did the statue carve the sculptor?,Yes,na,Experimental,one,Transitive_implausible
86,The vegetables chopped the chef.,Did the vegetables chop the chef?,Yes,na,Experimental,one,Transitive_implausible
87,The floor cleaned the cleaner.,Did the floor clean the cleaner?,Yes,na,Experimental,one,Transitive_implausible
88,The stamps collected the collector.,Did the stamps collect the collector?,Yes,na,Experimental,one,Transitive_implausible
89,The meat cut the butcher.,Did the meat cut the butcher?,Yes,na,Experimental,one,Transitive_implausible
90,The landscape described the writer.,Did the landscape describe the writer?,Yes,na,Experimental,one,Transitive_implausible
91,The building destroyed the crew.,Did the building destroy the crew?,Yes,na,Experimental,one,Transitive_implausible
92,The house designed the architect.,Did the house design the architect?,Yes,na,Experimental,one,Transitive_implausible
93,The cart pushed the student.,Did the cart push the student?,Yes,na,Experimental,one,Transitive_implausible
94,The portrait drew the artist.,Did the portrait draw the artist?,Yes,na,Experimental,one,Transitive_implausible
95,The concept memorized the teacher.,Did the concept memorize the teacher?,Yes,na,Experimental,one,Transitive_implausible
96,The metal flattened the blacksmith.,Did the metal flatten the blacksmith?,Yes,na,Experimental,one,Transitive_implausible
97,The paper folded the artist.,Did the paper fold the artist?,Yes,na,Experimental,one,Transitive_implausible
98,The nail hammered the carpenter.,Did the nail hammer the carpenter?,Yes,na,Experimental,one,Transitive_implausible
99,The system hacked the hacker.,Did the system hack the hacker?,Yes,na,Experimental,one,Transitive_implausible
100,The wall hit the boxer.,Did the wall hit the boxer?,Yes,na,Experimental,one,Transitive_implausible
101,The ball kicked the player.,Did the ball kick the player?,Yes,na,Experimental,one,Transitive_implausible
102,The door knocked the burglar.,Did the door knock the burglar?,Yes,na,Experimental,one,Transitive_implausible
103,The bread made the baker.,Did the bread make the baker?,Yes,na,Experimental,one,Transitive_implausible
104,The metal pounded the blacksmith.,Did the metal pound the blacksmith?,Yes,na,Experimental,one,Transitive_implausible
105,The cars produced the factory.,Did the cars produce the factory?,Yes,na,Experimental,one,Transitive_implausible
106,The environment protected the man.,Did the environment protect the man?,Yes,na,Experimental,one,Transitive_implausible
107,The sandbag punched the boxer.,Did the sandbag punch the boxer?,Yes,na,Experimental,one,Transitive_implausible
108,The magazine read the boy.,Did the magazine read the boy?,Yes,na,Experimental,one,Transitive_implausible
109,The wood sawed the carpenter.,Did the wood saw the carpenter?,Yes,na,Experimental,one,Transitive_implausible
110,The life saved the firefighter.,Did the life save the firefighter?,Yes,na,Experimental,one,Transitive_implausible
111,The window shattered the vandal.,Did the window shatter the vandal?,Yes,na,Experimental,one,Transitive_implausible
112,The sail slashed the pirate.,Did the sail slash the pirate?,Yes,na,Experimental,one,Transitive_implausible
113,The bread sliced the chef.,Did the bread slice the chef?,Yes,na,Experimental,one,Transitive_implausible
114,The toy smashed the child.,Did the toy smash the child?,Yes,na,Experimental,one,Transitive_implausible
115,The ball squashed the squash player.,Did the ball squash the squash player?,Yes,na,Experimental,one,Transitive_implausible
116,The idea suggested the boxer.,Did the idea suggest the boxer?,Yes,na,Experimental,one,Transitive_implausible
117,The class skipped the student.,Did the class skip the student?,Yes,na,Experimental,one,Transitive_implausible
118,The canvas touched the artist.,Did the canvas touch the artist?,Yes,na,Experimental,one,Transitive_implausible
119,The knife used the chef.,Did the knife use the chef?,Yes,na,Experimental,one,Transitive_implausible
120,The water wasted the person.,Did the water waste the person?,Yes,na,Experimental,one,Transitive_implausible
121,The bookshelf assembled the carpenter.,Did the bookshelf assemble the carpenter?,Yes,na,Experimental,one,Transitive_implausible
122,The mat bent the instructor.,Did the mat bend the instructor?,Yes,na,Experimental,one,Transitive_implausible
123,The chocolate bit the child.,Did the chocolate bite the child?,Yes,na,Experimental,one,Transitive_implausible
124,The cocktail blended the bartender.,Did the cocktail blend the bartender?,Yes,na,Experimental,one,Transitive_implausible
125,The statue carved the girl.,Did the statue carve the girl?,Yes,na,Experimental,one,Transitive_implausible
126,The onions chopped the chef.,Did the onions chop the chef?,Yes,na,Experimental,one,Transitive_implausible
127,The windows cleaned the cleaner.,Did the windows clean the cleaner?,Yes,na,Experimental,one,Transitive_implausible
128,The coins collected the collector.,Did the coins collect the collector?,Yes,na,Experimental,one,Transitive_implausible
129,The fabric cut the tailor.,Did the fabric cut the tailor?,Yes,na,Experimental,one,Transitive_implausible
130,The monument described the guide.,Did the monument describe the guide?,Yes,na,Experimental,one,Transitive_implausible
131,The facility destroyed the crew.,Did the facility destroy the crew?,Yes,na,Experimental,one,Transitive_implausible
132,The logo designed the designer.,Did the logo design the designer?,Yes,na,Experimental,one,Transitive_implausible
133,The button pushed the student.,Did the button push the student?,Yes,na,Experimental,one,Transitive_implausible
134,The landscape drew the artist.,Did the landscape draw the artist?,Yes,na,Experimental,one,Transitive_implausible
135,The lines memorized the lines.,Did the lines memorize the lines?,Yes,na,Experimental,one,Transitive_implausible
136,The plate flattened the ironworker.,Did the plate flatten the ironworker?,Yes,na,Experimental,one,Transitive_implausible
137,The crane folded the artist.,Did the crane fold the artist?,Yes,na,Experimental,one,Transitive_implausible
138,The metal hammered the blacksmith.,Did the metal hammer the blacksmith?,Yes,na,Experimental,one,Transitive_implausible
139,The computer hacked the kid.,Did the computer hack the kid?,Yes,na,Experimental,one,Transitive_implausible
140,The bag hit the lady.,Did the bag hit the lady?,Yes,na,Experimental,one,Transitive_implausible
141,The wall kicked the guy.,Did the wall kick the guy?,Yes,na,Experimental,one,Transitive_implausible
142,The door knocked the student.,Did the door knock the student?,Yes,na,Experimental,one,Transitive_implausible
143,The cake made the baker.,Did the cake make the baker?,Yes,na,Experimental,one,Transitive_implausible
144,The metal pounded the worker.,Did the metal pound the worker?,Yes,na,Experimental,one,Transitive_implausible
145,The smartphones produced the factory.,Did the smartphones produce the factory?,Yes,na,Experimental,one,Transitive_implausible
146,The building protected the soldiers.,Did the building protect the soldiers?,Yes,na,Experimental,one,Transitive_implausible
147,The locker punched the boxer.,Did the locker punch the boxer?,Yes,na,Experimental,one,Transitive_implausible
148,The novel read the student.,Did the novel read the student?,Yes,na,Experimental,one,Transitive_implausible
149,The timber sawed the carpenter.,Did the timber saw the carpenter?,Yes,na,Experimental,one,Transitive_implausible
150,The money saved the firefighter.,Did the money save the firefighter?,Yes,na,Experimental,one,Transitive_implausible
151,The window shattered the vandals.,Did the window shatter the vandals?,Yes,na,Experimental,one,Transitive_implausible
152,The sail slashed the pirate.,Did the sail slash the pirate?,Yes,na,Experimental,one,Transitive_implausible
153,The tomato sliced the chef.,Did the tomato slice the chef?,Yes,na,Experimental,one,Transitive_implausible
154,The toy car smashed the child.,Did the toy car smash the child?,Yes,na,Experimental,one,Transitive_implausible
155,The ball squashed the player.,Did the ball squash the player?,Yes,na,Experimental,one,Transitive_implausible
156,The policy suggested the manager.,Did the policy suggest the manager?,Yes,na,Experimental,one,Transitive_implausible
157,The party skipped the student.,Did the party skip the student?,Yes,na,Experimental,one,Transitive_implausible
158,The canvas touched the artist.,Did the canvas touch the artist?,Yes,na,Experimental,one,Transitive_implausible
159,The blender used the chef.,Did the blender use the chef?,Yes,na,Experimental,one,Transitive_implausible
160,The electricity wasted the person.,Did the electricity waste the person?,Yes,na,Experimental,one,Transitive_implausible
161,The engine was assembled by the mechanic.,Was the engine assembled by the mechanic?,Yes,na,Experimental,one,Passive_plausible
162,The wire was bent by the tailor.,Was the wire bent by the tailor?,Yes,na,Experimental,one,Passive_plausible
163,The apple was bitten by the child.,Was the apple bitten by the child?,Yes,na,Experimental,one,Passive_plausible
164,The ingredients were blended by the chef.,Were the ingredients blended by the chef?,Yes,na,Experimental,one,Passive_plausible
165,The statue was carved by the sculptor.,Was the statue carved by the sculptor?,Yes,na,Experimental,one,Passive_plausible
166,The vegetables were chopped by the chef.,Were the vegetables chopped by the chef?,Yes,na,Experimental,one,Passive_plausible
167,The floor was cleaned by the cleaner.,Was the floor cleaned by the cleaner?,Yes,na,Experimental,one,Passive_plausible
168,The stamps were collected by the collector.,Were the stamps collected by the collector?,Yes,na,Experimental,one,Passive_plausible
169,The meat was cut by the butcher.,Was the meat cut by the butcher?,Yes,na,Experimental,one,Passive_plausible
170,The landscape was described by the writer.,Was the landscape described by the writer?,Yes,na,Experimental,one,Passive_plausible
171,The building was destroyed by the crew.,Was the building destroyed by the crew?,Yes,na,Experimental,one,Passive_plausible
172,The house was designed by the architect.,Was the house designed by the architect?,Yes,na,Experimental,one,Passive_plausible
173,The cart was pushed by the student.,Was the cart pushed by the student?,Yes,na,Experimental,one,Passive_plausible
174,The portrait was drawn by the artist.,Was the portrait drawn by the artist?,Yes,na,Experimental,one,Passive_plausible
175,The concept was memorized by the teacher.,Was the concept memorized by the teacher?,Yes,na,Experimental,one,Passive_plausible
176,The metal was flattened by the blacksmith.,Was the metal flattened by the blacksmith?,Yes,na,Experimental,one,Passive_plausible
177,The paper was folded by the artist.,Was the paper folded by the artist?,Yes,na,Experimental,one,Passive_plausible
178,The nail was hammered by the carpenter.,Was the nail hammered by the carpenter?,Yes,na,Experimental,one,Passive_plausible
179,The system was hacked by the hacker.,Was the system hacked by the hacker?,Yes,na,Experimental,one,Passive_plausible
180,The wall was hit by the boxer.,Was the wall hit by the boxer?,Yes,na,Experimental,one,Passive_plausible
181,The ball was kicked by the player.,Was the ball kicked by the player?,Yes,na,Experimental,one,Passive_plausible
182,The door was knocked by the burglar.,Was the door knocked by the burglar?,Yes,na,Experimental,one,Passive_plausible
183,The bread was made by the baker.,Was the bread made by the baker?,Yes,na,Experimental,one,Passive_plausible
184,The metal was pounded by the blacksmith.,Was the metal pounded by the blacksmith?,Yes,na,Experimental,one,Passive_plausible
185,The cars were produced by the factory.,Were the cars produced by the factory?,Yes,na,Experimental,one,Passive_plausible
186,The environment was protected by the man.,Was the environment protected by the man?,Yes,na,Experimental,one,Passive_plausible
187,The sandbag was punched by the boxer.,Was the sandbag punched by the boxer?,Yes,na,Experimental,one,Passive_plausible
188,The magazine was read by the boy.,Was the magazine read by the boy?,Yes,na,Experimental,one,Passive_plausible
189,The wood was sawed by the carpenter.,Was the wood sawed by the carpenter?,Yes,na,Experimental,one,Passive_plausible
190,The life was saved by the firefighter.,Was the life saved by the firefighter?,Yes,na,Experimental,one,Passive_plausible
191,The window was shattered by the vandal.,Was the window shattered by the vandal?,Yes,na,Experimental,one,Passive_plausible
192,The sail was slashed by the pirate.,Was the sail slashed by the pirate?,Yes,na,Experimental,one,Passive_plausible
193,The bread was sliced by the chef.,Was the bread sliced by the chef?,Yes,na,Experimental,one,Passive_plausible
194,The toy was smashed by the child.,Was the toy smashed by the child?,Yes,na,Experimental,one,Passive_plausible
195,The ball was squashed by the player.,Was the ball squashed by the player?,Yes,na,Experimental,one,Passive_plausible
196,The idea was suggested by the boxer.,Was the idea suggested by the boxer?,Yes,na,Experimental,one,Passive_plausible
197,The class was skipped by the student.,Was the class skipped by the student?,Yes,na,Experimental,one,Passive_plausible
198,The canvas was touched by the artist.,Was the canvas touched by the artist?,Yes,na,Experimental,one,Passive_plausible
199,The knife was used by the chef.,Was the knife used by the chef?,Yes,na,Experimental,one,Passive_plausible
200,The water was wasted by the person.,Was the water wasted by the person?,Yes,na,Experimental,one,Passive_plausible
201,The bookshelf was assembled by the carpenter.,Was the bookshelf assembled by the carpenter?,Yes,na,Experimental,one,Passive_plausible
202,The mat was bent by the instructor.,Was the mat bent by the instructor?,Yes,na,Experimental,one,Passive_plausible
203,The chocolate was bitten by the child.,Was the chocolate bitten by the child?,Yes,na,Experimental,one,Passive_plausible
204,The cocktail was blended by the bartender.,Was the cocktail blended by the bartender?,Yes,na,Experimental,one,Passive_plausible
205,The statue was carved by the girl.,Was the statue carved by the girl?,Yes,na,Experimental,one,Passive_plausible
206,The onions were chopped by the chef.,Were the onions chopped by the chef?,Yes,na,Experimental,one,Passive_plausible
207,The windows were cleaned by the cleaner.,Were the windows cleaned by the cleaner?,Yes,na,Experimental,one,Passive_plausible
208,The coins were collected by the collector.,Were the coins collected by the collector?,Yes,na,Experimental,one,Passive_plausible
209,The fabric was cut by the tailor.,Was the fabric cut by the tailor?,Yes,na,Experimental,one,Passive_plausible
210,The monument was described by the guide.,Was the monument described by the guide?,Yes,na,Experimental,one,Passive_plausible
211,The building was destroyed by the crew.,Was the building destroyed by the crew?,Yes,na,Experimental,one,Passive_plausible
212,The logo was designed by the designer.,Was the logo designed by the designer?,Yes,na,Experimental,one,Passive_plausible
213,The button was pushed by the student.,Was the button pushed by the student?,Yes,na,Experimental,one,Passive_plausible
214,The landscape was drawn by the artist.,Was the landscape drawn by the artist?,Yes,na,Experimental,one,Passive_plausible
215,The lines were memorized by the boy.,Were the lines memorized by the boy?,Yes,na,Experimental,one,Passive_plausible
216,The plate was flattened by the ironworker.,Was the plate flattened by the ironworker?,Yes,na,Experimental,one,Passive_plausible
217,The crane was folded by the artist.,Was the crane folded by the artist?,Yes,na,Experimental,one,Passive_plausible
218,The metal was hammered by the blacksmith.,Was the metal hammered by the blacksmith?,Yes,na,Experimental,one,Passive_plausible
219,The computer was hacked by the kid.,Was the computer hacked by the kid?,Yes,na,Experimental,one,Passive_plausible
220,The bag was hit by the lady.,Was the bag hit by the lady?,Yes,na,Experimental,one,Passive_plausible
221,The door was kicked by the guy.,Was the door kicked by the guy?,Yes,na,Experimental,one,Passive_plausible
222,The door was knocked by the student.,Was the door knocked by the student?,Yes,na,Experimental,one,Passive_plausible
223,The cake was made by the baker.,Was the cake made by the baker?,Yes,na,Experimental,one,Passive_plausible
224,The metal was pounded by the worker.,Was the metal pounded by the worker?,Yes,na,Experimental,one,Passive_plausible
225,The smartphones were produced by the factory.,Were the smartphones produced by the factory?,Yes,na,Experimental,one,Passive_plausible
226,The building was protected by the soldiers.,Was the building protected by the soldiers?,Yes,na,Experimental,one,Passive_plausible
227,The locker was punched by the boxer.,Was the locker punched by the boxer?,Yes,na,Experimental,one,Passive_plausible
228,The kid was rescued by the student.,Was the kid rescued by the student?,Yes,na,Experimental,one,Passive_plausible
229,The timber was sawed by the carpenter.,Was the timber sawed by the carpenter?,Yes,na,Experimental,one,Passive_plausible
230,The money was saved by the firefighter.,Was the money saved by the firefighter?,Yes,na,Experimental,one,Passive_plausible
231,The window was shattered by the vandals.,Was the window shattered by the vandals?,Yes,na,Experimental,one,Passive_plausible
232,The sail was slashed by the pirate.,Was the sail slashed by the pirate?,Yes,na,Experimental,one,Passive_plausible
233,The tomato was sliced by the chef.,Was the tomato sliced by the chef?,Yes,na,Experimental,one,Passive_plausible
234,The toy car was smashed by the child.,Was the toy car smashed by the child?,Yes,na,Experimental,one,Passive_plausible
235,The ball was squashed by the player.,Was the ball squashed by the player?,Yes,na,Experimental,one,Passive_plausible
236,The policy was suggested by the manager.,Was the policy suggested by the manager?,Yes,na,Experimental,one,Passive_plausible
237,The party was skipped by the student.,Was the party skipped by the student?,Yes,na,Experimental,one,Passive_plausible
238,The canvas was touched by the artist.,Was the canvas touched by the artist?,Yes,na,Experimental,one,Passive_plausible
239,The blender was used by the chef.,Was the blender used by the chef?,Yes,na,Experimental,one,Passive_plausible
240,the Electricity was wasted by the person.,Was the electricity wasted by the person?,Yes,na,Experimental,one,Passive_plausible
241,The mechanic was assembled by the engine.,Was the mechanic assembled by the engine?,Yes,na,Experimental,one,Passive_implausible
242,The tailor was bent by the wire.,Was the tailor bent by the wire?,Yes,na,Experimental,one,Passive_implausible
243,The child was bitten by the apple.,Was the child bitten by the apple?,Yes,na,Experimental,one,Passive_implausible
244,The chef was blended by the ingredients.,Was the chef blended by the ingredients?,Yes,na,Experimental,one,Passive_implausible
245,The sculptor was carved by the statue.,Was the sculptor carved by the statue?,Yes,na,Experimental,one,Passive_implausible
246,The chef was chopped by the vegetables.,Was the chef chopped by the vegetables?,Yes,na,Experimental,one,Passive_implausible
247,The cleaner was cleaned by the floor.,Was the cleaner cleaned by the floor?,Yes,na,Experimental,one,Passive_implausible
248,The collector was collected by the stamps.,Was the collector collected by the stamps?,Yes,na,Experimental,one,Passive_implausible
249,The butcher was cut by the meat.,Was the butcher cut by the meat?,Yes,na,Experimental,one,Passive_implausible
250,The writer was described by the landscape.,Was the writer described by the landscape?,Yes,na,Experimental,one,Passive_implausible
251,The crew was destroyed by the building.,Was the crew destroyed by the building?,Yes,na,Experimental,one,Passive_implausible
252,The architect was designed by the house.,Was the architect designed by the house?,Yes,na,Experimental,one,Passive_implausible
253,The student was pushed by the cart.,Was the student pushed by the cart?,Yes,na,Experimental,one,Passive_implausible
254,The artist was drawn by the portrait.,Was the artist drawn by the portrait?,Yes,na,Experimental,one,Passive_implausible
255,The teacher was memorized by the concept.,Was the teacher memorized by the concept?,Yes,na,Experimental,one,Passive_implausible
256,The blacksmith was flattened by the metal.,Was the blacksmith flattened by the metal?,Yes,na,Experimental,one,Passive_implausible
257,The artist was folded by the paper.,Was the artist folded by the paper?,Yes,na,Experimental,one,Passive_implausible
258,The carpenter was hammered by the nail.,Was the carpenter hammered by the nail?,Yes,na,Experimental,one,Passive_implausible
259,The hacker was hacked by the system.,Was the hacker hacked by the system?,Yes,na,Experimental,one,Passive_implausible
260,The boxer was hit by the wall.,Was the boxer hit by the wall?,Yes,na,Experimental,one,Passive_implausible
261,The player was kicked by the ball.,Was the player kicked by the ball?,Yes,na,Experimental,one,Passive_implausible
262,The burglar was knocked by the door.,Was the burglar knocked by the door?,Yes,na,Experimental,one,Passive_implausible
263,The baker was made by the bread.,Was the baker made by the bread?,Yes,na,Experimental,one,Passive_implausible
264,The blacksmith was pounded by the metal.,Was the blacksmith pounded by the metal?,Yes,na,Experimental,one,Passive_implausible
265,The factory was produced by the cars.,Was the factory produced by the cars?,Yes,na,Experimental,one,Passive_implausible
266,The man was protected by the environment.,Was the man protected by the environment?,Yes,na,Experimental,one,Passive_implausible
267,The boxer was punched by the sandbag.,Was the boxer punched by the sandbag?,Yes,na,Experimental,one,Passive_implausible
268,The boy was read by the magazine.,Was the boy read by the magazine?,Yes,na,Experimental,one,Passive_implausible
269,The carpenter was sawed by the wood.,Was the carpenter sawed by the wood?,Yes,na,Experimental,one,Passive_implausible
270,The firefighter was saved by the life.,Was the firefighter saved by the life?,Yes,na,Experimental,one,Passive_implausible
271,The vandal was shattered by the window.,Was the vandal shattered by the window?,Yes,na,Experimental,one,Passive_implausible
272,The pirate was slashed by the sail.,Was the pirate slashed by the sail?,Yes,na,Experimental,one,Passive_implausible
273,The chef was sliced by the bread.,Was the chef sliced by the bread?,Yes,na,Experimental,one,Passive_implausible
274,The child was smashed by the toy.,Was the child smashed by the toy?,Yes,na,Experimental,one,Passive_implausible
275,The player was squashed by the ball.,Was the player squashed by the ball?,Yes,na,Experimental,one,Passive_implausible
276,The boxer was suggested by the idea.,Was the boxer suggested by the idea?,Yes,na,Experimental,one,Passive_implausible
277,The student was skipped by the class.,Was the student skipped by the class?,Yes,na,Experimental,one,Passive_implausible
278,The artist was touched by the canvas.,Was the artist touched by the canvas?,Yes,na,Experimental,one,Passive_implausible
279,The chef was used by the knife.,Was the chef used by the knife?,Yes,na,Experimental,one,Passive_implausible
280,The person was wasted by the water.,Was the person wasted by the water?,Yes,na,Experimental,one,Passive_implausible
281,The carpenter was assembled by the bookshelf.,Was the carpenter assembled by the bookshelf?,Yes,na,Experimental,one,Passive_implausible
282,The instructor was bent by the mat.,Was the instructor bent by the mat?,Yes,na,Experimental,one,Passive_implausible
283,The child was bitten by the chocolate.,Was the child bitten by the chocolate?,Yes,na,Experimental,one,Passive_implausible
284,The bartender was blended by the cocktail.,Was the bartender blended by the cocktail?,Yes,na,Experimental,one,Passive_implausible
