ItemID,Context,Question,Correct_answer,Target_sentence_position,Experimental_or_filler,Number_of_propositions,Condition,plausibility,gold_label
87,The floor cleaned the cleaner.,Did the floor clean the cleaner?,Yes,na,Experimental,one,Transitive,implausible,Yes
88,The stamps collected the collector.,Did the stamps collect the collector?,Yes,na,Experimental,one,Transitive,implausible,Yes
89,The meat cut the butcher.,Did the meat cut the butcher?,Yes,na,Experimental,one,Transitive,implausible,Yes
90,The landscape described the writer.,Did the landscape describe the writer?,Yes,na,Experimental,one,Transitive,implausible,Yes
91,The building destroyed the crew.,Did the building destroy the crew?,Yes,na,Experimental,one,Transitive,implausible,Yes
92,The house designed the architect.,Did the house design the architect?,Yes,na,Experimental,one,Transitive,implausible,Yes
93,The cart pushed the student.,Did the cart push the student?,Yes,na,Experimental,one,Transitive,implausible,Yes
94,The portrait drew the artist.,Did the portrait draw the artist?,Yes,na,Experimental,one,Transitive,implausible,Yes
95,The concept memorized the teacher.,Did the concept memorize the teacher?,Yes,na,Experimental,one,Transitive,implausible,Yes
96,The metal flattened the blacksmith.,Did the metal flatten the blacksmith?,Yes,na,Experimental,one,Transitive,implausible,Yes
97,The paper folded the artist.,Did the paper fold the artist?,Yes,na,Experimental,one,Transitive,implausible,Yes
98,The nail hammered the carpenter.,Did the nail hammer the carpenter?,Yes,na,Experimental,one,Transitive,implausible,Yes
99,The system hacked the hacker.,Did the system hack the hacker?,Yes,na,Experimental,one,Transitive,implausible,Yes
100,The wall hit the boxer.,Did the wall hit the boxer?,Yes,na,Experimental,one,Transitive,implausible,Yes
101,The ball kicked the player.,Did the ball kick the player?,Yes,na,Experimental,one,Transitive,implausible,Yes
102,The door knocked the burglar.,Did the door knock the burglar?,Yes,na,Experimental,one,Transitive,implausible,Yes
103,The bread made the baker.,Did the bread make the baker?,Yes,na,Experimental,one,Transitive,implausible,Yes
104,The metal pounded the blacksmith.,Did the metal pound the blacksmith?,Yes,na,Experimental,one,Transitive,implausible,Yes
105,The cars produced the factory.,Did the cars produce the factory?,Yes,na,Experimental,one,Transitive,implausible,Yes
106,The environment protected the man.,Did the environment protect the man?,Yes,na,Experimental,one,Transitive,implausible,Yes
107,The sandbag punched the boxer.,Did the sandbag punch the boxer?,Yes,na,Experimental,one,Transitive,implausible,Yes
108,The magazine read the boy.,Did the magazine read the boy?,Yes,na,Experimental,one,Transitive,implausible,Yes
109,The wood sawed the carpenter.,Did the wood saw the carpenter?,Yes,na,Experimental,one,Transitive,implausible,Yes
110,The life saved the firefighter.,Did the life save the firefighter?,Yes,na,Experimental,one,Transitive,implausible,Yes
111,The window shattered the vandal.,Did the window shatter the vandal?,Yes,na,Experimental,one,Transitive,implausible,Yes
112,The sail slashed the pirate.,Did the sail slash the pirate?,Yes,na,Experimental,one,Transitive,implausible,Yes
113,The bread sliced the chef.,Did the bread slice the chef?,Yes,na,Experimental,one,Transitive,implausible,Yes
114,The toy smashed the child.,Did the toy smash the child?,Yes,na,Experimental,one,Transitive,implausible,Yes
115,The ball squashed the squash player.,Did the ball squash the squash player?,Yes,na,Experimental,one,Transitive,implausible,Yes
116,The idea suggested the boxer.,Did the idea suggest the boxer?,Yes,na,Experimental,one,Transitive,implausible,Yes
117,The class skipped the student.,Did the class skip the student?,Yes,na,Experimental,one,Transitive,implausible,Yes
118,The canvas touched the artist.,Did the canvas touch the artist?,Yes,na,Experimental,one,Transitive,implausible,Yes
119,The knife used the chef.,Did the knife use the chef?,Yes,na,Experimental,one,Transitive,implausible,Yes
120,The water wasted the person.,Did the water waste the person?,Yes,na,Experimental,one,Transitive,implausible,Yes
121,The bookshelf assembled the carpenter.,Did the bookshelf assemble the carpenter?,Yes,na,Experimental,one,Transitive,implausible,Yes
122,The mat bent the instructor.,Did the mat bend the instructor?,Yes,na,Experimental,one,Transitive,implausible,Yes
123,The chocolate bit the child.,Did the chocolate bite the child?,Yes,na,Experimental,one,Transitive,implausible,Yes
124,The cocktail blended the bartender.,Did the cocktail blend the bartender?,Yes,na,Experimental,one,Transitive,implausible,Yes
125,The statue carved the girl.,Did the statue carve the girl?,Yes,na,Experimental,one,Transitive,implausible,Yes
126,The onions chopped the chef.,Did the onions chop the chef?,Yes,na,Experimental,one,Transitive,implausible,Yes
127,The windows cleaned the cleaner.,Did the windows clean the cleaner?,Yes,na,Experimental,one,Transitive,implausible,Yes
128,The coins collected the collector.,Did the coins collect the collector?,Yes,na,Experimental,one,Transitive,implausible,Yes
129,The fabric cut the tailor.,Did the fabric cut the tailor?,Yes,na,Experimental,one,Transitive,implausible,Yes
130,The monument described the guide.,Did the monument describe the guide?,Yes,na,Experimental,one,Transitive,implausible,Yes
131,The facility destroyed the crew.,Did the facility destroy the crew?,Yes,na,Experimental,one,Transitive,implausible,Yes
132,The logo designed the designer.,Did the logo design the designer?,Yes,na,Experimental,one,Transitive,implausible,Yes
133,The button pushed the student.,Did the button push the student?,Yes,na,Experimental,one,Transitive,implausible,Yes
134,The landscape drew the artist.,Did the landscape draw the artist?,Yes,na,Experimental,one,Transitive,implausible,Yes
135,The lines memorized the lines.,Did the lines memorize the lines?,Yes,na,Experimental,one,Transitive,implausible,Yes
136,The plate flattened the ironworker.,Did the plate flatten the ironworker?,Yes,na,Experimental,one,Transitive,implausible,Yes
137,The crane folded the artist.,Did the crane fold the artist?,Yes,na,Experimental,one,Transitive,implausible,Yes
138,The metal hammered the blacksmith.,Did the metal hammer the blacksmith?,Yes,na,Experimental,one,Transitive,implausible,Yes
139,The computer hacked the kid.,Did the computer hack the kid?,Yes,na,Experimental,one,Transitive,implausible,Yes
140,The bag hit the lady.,Did the bag hit the lady?,Yes,na,Experimental,one,Transitive,implausible,Yes
141,The wall kicked the guy.,Did the wall kick the guy?,Yes,na,Experimental,one,Transitive,implausible,Yes
142,The door knocked the student.,Did the door knock the student?,Yes,na,Experimental,one,Transitive,implausible,Yes
143,The cake made the baker.,Did the cake make the baker?,Yes,na,Experimental,one,Transitive,implausible,No
144,The metal pounded the worker.,Did the metal pound the worker?,Yes,na,Experimental,one,Transitive,implausible,Yes
145,The smartphones produced the factory.,Did the smartphones produce the factory?,Yes,na,Experimental,one,Transitive,implausible,Yes
146,The building protected the soldiers.,Did the building protect the soldiers?,Yes,na,Experimental,one,Transitive,implausible,No
147,The locker punched the boxer.,Did the locker punch the boxer?,Yes,na,Experimental,one,Transitive,implausible,Yes
148,The novel read the student.,Did the novel read the student?,Yes,na,Experimental,one,Transitive,implausible,Yes
149,The timber sawed the carpenter.,Did the timber saw the carpenter?,Yes,na,Experimental,one,Transitive,implausible,Yes
150,The money saved the firefighter.,Did the money save the firefighter?,Yes,na,Experimental,one,Transitive,implausible,Yes
151,The window shattered the vandals.,Did the window shatter the vandals?,Yes,na,Experimental,one,Transitive,implausible,Yes
152,The sail slashed the pirate.,Did the sail slash the pirate?,Yes,na,Experimental,one,Transitive,implausible,Yes
153,The tomato sliced the chef.,Did the tomato slice the chef?,Yes,na,Experimental,one,Transitive,implausible,Yes
154,The toy car smashed the child.,Did the toy car smash the child?,Yes,na,Experimental,one,Transitive,implausible,Yes
155,The ball squashed the player.,Did the ball squash the player?,Yes,na,Experimental,one,Transitive,implausible,Yes
156,The policy suggested the manager.,Did the policy suggest the manager?,Yes,na,Experimental,one,Transitive,implausible,Yes
157,The party skipped the student.,Did the party skip the student?,Yes,na,Experimental,one,Transitive,implausible,Yes
158,The canvas touched the artist.,Did the canvas touch the artist?,Yes,na,Experimental,one,Transitive,implausible,Yes
159,The blender used the chef.,Did the blender use the chef?,Yes,na,Experimental,one,Transitive,implausible,Yes
160,The electricity wasted the person.,Did the electricity waste the person?,Yes,na,Experimental,one,Transitive,implausible,Yes
161,The engine was assembled by the mechanic.,Was the engine assembled by the mechanic?,Yes,na,Experimental,one,Passive,plausible,Yes
162,The wire was bent by the tailor.,Was the wire bent by the tailor?,Yes,na,Experimental,one,Passive,plausible,Yes
163,The apple was bitten by the child.,Was the apple bitten by the child?,Yes,na,Experimental,one,Passive,plausible,Yes
164,The ingredients were blended by the chef.,Were the ingredients blended by the chef?,Yes,na,Experimental,one,Passive,plausible,Yes
165,The statue was carved by the sculptor.,Was the statue carved by the sculptor?,Yes,na,Experimental,one,Passive,plausible,Yes
166,The vegetables were chopped by the chef.,Were the vegetables chopped by the chef?,Yes,na,Experimental,one,Passive,plausible,Yes
167,The floor was cleaned by the cleaner.,Was the floor cleaned by the cleaner?,Yes,na,Experimental,one,Passive,plausible,Yes
168,The stamps were collected by the collector.,Were the stamps collected by the collector?,Yes,na,Experimental,one,Passive,plausible,Yes
169,The meat was cut by the butcher.,Was the meat cut by the butcher?,Yes,na,Experimental,one,Passive,plausible,Yes
170,The landscape was described by the writer.,Was the landscape described by the writer?,Yes,na,Experimental,one,Passive,plausible,Yes
171,The building was destroyed by the crew.,Was the building destroyed by the crew?,Yes,na,Experimental,one,Passive,plausible,Yes
172,The house was designed by the architect.,Was the house designed by the architect?,Yes,na,Experimental,one,Passive,plausible,Yes
173,The cart was pushed by the student.,Was the cart pushed by the student?,Yes,na,Experimental,one,Passive,plausible,Yes
174,The portrait was drawn by the artist.,Was the portrait drawn by the artist?,Yes,na,Experimental,one,Passive,plausible,No
175,The concept was memorized by the teacher.,Was the concept memorized by the teacher?,Yes,na,Experimental,one,Passive,plausible,Yes
176,The metal was flattened by the blacksmith.,Was the metal flattened by the blacksmith?,Yes,na,Experimental,one,Passive,plausible,Yes
177,The paper was folded by the artist.,Was the paper folded by the artist?,Yes,na,Experimental,one,Passive,plausible,Yes
178,The nail was hammered by the carpenter.,Was the nail hammered by the carpenter?,Yes,na,Experimental,one,Passive,plausible,Yes
179,The system was hacked by the hacker.,Was the system hacked by the hacker?,Yes,na,Experimental,one,Passive,plausible,Yes
180,The wall was hit by the boxer.,Was the wall hit by the boxer?,Yes,na,Experimental,one,Passive,plausible,Yes
181,The ball was kicked by the player.,Was the ball kicked by the player?,Yes,na,Experimental,one,Passive,plausible,Yes
182,The door was knocked by the burglar.,Was the door knocked by the burglar?,Yes,na,Experimental,one,Passive,plausible,Yes
183,The bread was made by the baker.,Was the bread made by the baker?,Yes,na,Experimental,one,Passive,plausible,Yes
184,The metal was pounded by the blacksmith.,Was the metal pounded by the blacksmith?,Yes,na,Experimental,one,Passive,plausible,Yes
185,The cars were produced by the factory.,Were the cars produced by the factory?,Yes,na,Experimental,one,Passive,plausible,Yes
186,The environment was protected by the man.,Was the environment protected by the man?,Yes,na,Experimental,one,Passive,plausible,Yes
187,The sandbag was punched by the boxer.,Was the sandbag punched by the boxer?,Yes,na,Experimental,one,Passive,plausible,Yes
188,The magazine was read by the boy.,Was the magazine read by the boy?,Yes,na,Experimental,one,Passive,plausible,Yes
189,The wood was sawed by the carpenter.,Was the wood sawed by the carpenter?,Yes,na,Experimental,one,Passive,plausible,Yes
190,The life was saved by the firefighter.,Was the life saved by the firefighter?,Yes,na,Experimental,one,Passive,plausible,Yes
191,The window was shattered by the vandal.,Was the window shattered by the vandal?,Yes,na,Experimental,one,Passive,plausible,Yes
192,The sail was slashed by the pirate.,Was the sail slashed by the pirate?,Yes,na,Experimental,one,Passive,plausible,Yes
193,The bread was sliced by the chef.,Was the bread sliced by the chef?,Yes,na,Experimental,one,Passive,plausible,Yes
194,The toy was smashed by the child.,Was the toy smashed by the child?,Yes,na,Experimental,one,Passive,plausible,Yes
195,The ball was squashed by the player.,Was the ball squashed by the player?,Yes,na,Experimental,one,Passive,plausible,Yes
196,The idea was suggested by the boxer.,Was the idea suggested by the boxer?,Yes,na,Experimental,one,Passive,plausible,Yes
197,The class was skipped by the student.,Was the class skipped by the student?,Yes,na,Experimental,one,Passive,plausible,Yes
198,The canvas was touched by the artist.,Was the canvas touched by the artist?,Yes,na,Experimental,one,Passive,plausible,Yes
199,The knife was used by the chef.,Was the knife used by the chef?,Yes,na,Experimental,one,Passive,plausible,Yes
200,The water was wasted by the person.,Was the water wasted by the person?,Yes,na,Experimental,one,Passive,plausible,Yes
201,The bookshelf was assembled by the carpenter.,Was the bookshelf assembled by the carpenter?,Yes,na,Experimental,one,Passive,plausible,Yes
202,The mat was bent by the instructor.,Was the mat bent by the instructor?,Yes,na,Experimental,one,Passive,plausible,Yes
203,The chocolate was bitten by the child.,Was the chocolate bitten by the child?,Yes,na,Experimental,one,Passive,plausible,Yes
204,The cocktail was blended by the bartender.,Was the cocktail blended by the bartender?,Yes,na,Experimental,one,Passive,plausible,Yes
205,The statue was carved by the girl.,Was the statue carved by the girl?,Yes,na,Experimental,one,Passive,plausible,Yes
206,The onions were chopped by the chef.,Were the onions chopped by the chef?,Yes,na,Experimental,one,Passive,plausible,Yes
207,The windows were cleaned by the cleaner.,Were the windows cleaned by the cleaner?,Yes,na,Experimental,one,Passive,plausible,Yes
208,The coins were collected by the collector.,Were the coins collected by the collector?,Yes,na,Experimental,one,Passive,plausible,Yes
209,The fabric was cut by the tailor.,Was the fabric cut by the tailor?,Yes,na,Experimental,one,Passive,plausible,Yes
210,The monument was described by the guide.,Was the monument described by the guide?,Yes,na,Experimental,one,Passive,plausible,Yes
211,The building was destroyed by the crew.,Was the building destroyed by the crew?,Yes,na,Experimental,one,Passive,plausible,Yes
212,The logo was designed by the designer.,Was the logo designed by the designer?,Yes,na,Experimental,one,Passive,plausible,Yes
213,The button was pushed by the student.,Was the button pushed by the student?,Yes,na,Experimental,one,Passive,plausible,Yes
214,The landscape was drawn by the artist.,Was the landscape drawn by the artist?,Yes,na,Experimental,one,Passive,plausible,Yes
215,The lines were memorized by the boy.,Were the lines memorized by the boy?,Yes,na,Experimental,one,Passive,plausible,Yes
216,The plate was flattened by the ironworker.,Was the plate flattened by the ironworker?,Yes,na,Experimental,one,Passive,plausible,Yes
217,The crane was folded by the artist.,Was the crane folded by the artist?,Yes,na,Experimental,one,Passive,plausible,Yes
218,The metal was hammered by the blacksmith.,Was the metal hammered by the blacksmith?,Yes,na,Experimental,one,Passive,plausible,Yes
219,The computer was hacked by the kid.,Was the computer hacked by the kid?,Yes,na,Experimental,one,Passive,plausible,Yes
220,The bag was hit by the lady.,Was the bag hit by the lady?,Yes,na,Experimental,one,Passive,plausible,Yes
221,The door was kicked by the guy.,Was the door kicked by the guy?,Yes,na,Experimental,one,Passive,plausible,Yes
222,The door was knocked by the student.,Was the door knocked by the student?,Yes,na,Experimental,one,Passive,plausible,Yes
223,The cake was made by the baker.,Was the cake made by the baker?,Yes,na,Experimental,one,Passive,plausible,Yes
224,The metal was pounded by the worker.,Was the metal pounded by the worker?,Yes,na,Experimental,one,Passive,plausible,Yes
225,The smartphones were produced by the factory.,Were the smartphones produced by the factory?,Yes,na,Experimental,one,Passive,plausible,Yes
226,The building was protected by the soldiers.,Was the building protected by the soldiers?,Yes,na,Experimental,one,Passive,plausible,Yes
227,The locker was punched by the boxer.,Was the locker punched by the boxer?,Yes,na,Experimental,one,Passive,plausible,Yes
228,The kid was rescued by the student.,Was the kid rescued by the student?,Yes,na,Experimental,one,Passive,plausible,Yes
229,The timber was sawed by the carpenter.,Was the timber sawed by the carpenter?,Yes,na,Experimental,one,Passive,plausible,Yes
230,The money was saved by the firefighter.,Was the money saved by the firefighter?,Yes,na,Experimental,one,Passive,plausible,Yes
231,The window was shattered by the vandals.,Was the window shattered by the vandals?,Yes,na,Experimental,one,Passive,plausible,Yes
232,The sail was slashed by the pirate.,Was the sail slashed by the pirate?,Yes,na,Experimental,one,Passive,plausible,Yes
233,The tomato was sliced by the chef.,Was the tomato sliced by the chef?,Yes,na,Experimental,one,Passive,plausible,Yes
234,The toy car was smashed by the child.,Was the toy car smashed by the child?,Yes,na,Experimental,one,Passive,plausible,Yes
235,The ball was squashed by the player.,Was the ball squashed by the player?,Yes,na,Experimental,one,Passive,plausible,Yes
236,The policy was suggested by the manager.,Was the policy suggested by the manager?,Yes,na,Experimental,one,Passive,plausible,Yes
237,The party was skipped by the student.,Was the party skipped by the student?,Yes,na,Experimental,one,Passive,plausible,Yes
238,The canvas was touched by the artist.,Was the canvas touched by the artist?,Yes,na,Experimental,one,Passive,plausible,Yes
239,The blender was used by the chef.,Was the blender used by the chef?,Yes,na,Experimental,one,Passive,plausible,Yes
240,the Electricity was wasted by the person.,Was the electricity wasted by the person?,Yes,na,Experimental,one,Passive,plausible,Yes
241,The mechanic was assembled by the engine.,Was the mechanic assembled by the engine?,Yes,na,Experimental,one,Passive,implausible,Yes
242,The tailor was bent by the wire.,Was the tailor bent by the wire?,Yes,na,Experimental,one,Passive,implausible,Yes
243,The child was bitten by the apple.,Was the child bitten by the apple?,Yes,na,Experimental,one,Passive,implausible,Yes
244,The chef was blended by the ingredients.,Was the chef blended by the ingredients?,Yes,na,Experimental,one,Passive,implausible,Yes
245,The sculptor was carved by the statue.,Was the sculptor carved by the statue?,Yes,na,Experimental,one,Passive,implausible,Yes
246,The chef was chopped by the vegetables.,Was the chef chopped by the vegetables?,Yes,na,Experimental,one,Passive,implausible,Yes
247,The cleaner was cleaned by the floor.,Was the cleaner cleaned by the floor?,Yes,na,Experimental,one,Passive,implausible,Yes
248,The collector was collected by the stamps.,Was the collector collected by the stamps?,Yes,na,Experimental,one,Passive,implausible,Yes
249,The butcher was cut by the meat.,Was the butcher cut by the meat?,Yes,na,Experimental,one,Passive,implausible,Yes
250,The writer was described by the landscape.,Was the writer described by the landscape?,Yes,na,Experimental,one,Passive,implausible,Yes
251,The crew was destroyed by the building.,Was the crew destroyed by the building?,Yes,na,Experimental,one,Passive,implausible,Yes
252,The architect was designed by the house.,Was the architect designed by the house?,Yes,na,Experimental,one,Passive,implausible,Yes
253,The student was pushed by the cart.,Was the student pushed by the cart?,Yes,na,Experimental,one,Passive,implausible,Yes
254,The artist was drawn by the portrait.,Was the artist drawn by the portrait?,Yes,na,Experimental,one,Passive,implausible,Yes
255,The teacher was memorized by the concept.,Was the teacher memorized by the concept?,Yes,na,Experimental,one,Passive,implausible,Yes
256,The blacksmith was flattened by the metal.,Was the blacksmith flattened by the metal?,Yes,na,Experimental,one,Passive,implausible,Yes
257,The artist was folded by the paper.,Was the artist folded by the paper?,Yes,na,Experimental,one,Passive,implausible,Yes
258,The carpenter was hammered by the nail.,Was the carpenter hammered by the nail?,Yes,na,Experimental,one,Passive,implausible,Yes
259,The hacker was hacked by the system.,Was the hacker hacked by the system?,Yes,na,Experimental,one,Passive,implausible,No
260,The boxer was hit by the wall.,Was the boxer hit by the wall?,Yes,na,Experimental,one,Passive,implausible,Yes
261,The player was kicked by the ball.,Was the player kicked by the ball?,Yes,na,Experimental,one,Passive,implausible,Yes
262,The burglar was knocked by the door.,Was the burglar knocked by the door?,Yes,na,Experimental,one,Passive,implausible,Yes
263,The baker was made by the bread.,Was the baker made by the bread?,Yes,na,Experimental,one,Passive,implausible,Yes
