item_id,premise,hypothesis,correct_label,condition,plausibility,memory_load,human_label
48,The collector collected the coins.,The collector collected the coins.,e,Transitive,plausible,one,e
49,The tailor cut the fabric.,The tailor cut the fabric.,e,Transitive,plausible,one,e
50,The guide described the monument.,The guide described the monument.,e,Transitive,plausible,one,e
51,The crew destroyed the facility.,The crew destroyed the facility.,e,Transitive,plausible,one,e
52,The designer designed the logo.,The designer designed the logo.,e,Transitive,plausible,one,e
53,The student pushed the button.,The student pushed the button.,e,Transitive,plausible,one,e
54,The artist drew the landscape.,The artist drew the landscape.,e,Transitive,plausible,one,e
55,The boy memorized the lines.,The boy memorized the lines.,e,Transitive,plausible,one,e
56,The ironworker flattened the plate.,The ironworker flattened the plate.,e,Transitive,plausible,one,e
57,The artist folded the crane.,The artist folded the crane.,e,Transitive,plausible,one,e
58,The blacksmith hammered the metal.,The blacksmith hammered the metal.,e,Transitive,plausible,one,e
59,The kid hacked the computer.,The kid hacked the computer.,e,Transitive,plausible,one,e
60,The lady hit the bag.,The lady hit the bag.,e,Transitive,plausible,one,e
61,The guy kicked the door.,The guy kicked the door.,e,Transitive,plausible,one,e
62,The student knocked the door.,The student knocked the door.,e,Transitive,plausible,one,n
63,The baker made the cake.,The baker made the cake.,e,Transitive,plausible,one,e
64,The worker pounded the metal.,The worker pounded the metal.,e,Transitive,plausible,one,e
65,The factory produced the smartphones.,The factory produced the smartphones.,e,Transitive,plausible,one,e
66,The soldiers protected the building.,The soldiers protected the building.,e,Transitive,plausible,one,e
67,The boxer punched the locker.,The boxer punched the locker.,e,Transitive,plausible,one,e
68,The student read the novel.,The student read the novel.,e,Transitive,plausible,one,e
69,The carpenter sawed the timber.,The carpenter sawed the timber.,e,Transitive,plausible,one,e
70,The firefighter saved the money.,The firefighter saved the money.,e,Transitive,plausible,one,e
71,The vandals shattered the window.,The vandals shattered the window.,e,Transitive,plausible,one,e
72,The pirate slashed the sail.,The pirate slashed the sail.,e,Transitive,plausible,one,e
73,The chef sliced the tomato.,The chef sliced the tomato.,e,Transitive,plausible,one,e
74,The child smashed the toy car.,The child smashed the toy car.,e,Transitive,plausible,one,e
75,The player squashed the ball.,The player squashed the ball.,e,Transitive,plausible,one,e
76,The manager suggested the policy.,The manager suggested the policy.,e,Transitive,plausible,one,e
77,The student skipped the party.,The student skipped the party.,e,Transitive,plausible,one,e
78,The artist touched the canvas.,The artist touched the canvas.,e,Transitive,plausible,one,e
79,The chef used the blender.,The chef used the blender.,e,Transitive,plausible,one,e
80,The person wasted the electricity.,The person wasted the electricity.,e,Transitive,plausible,one,e
81,The engine assembled the mechanic.,The engin assembled the mechanic.,e,Transitive,implausible,one,e
82,The wire bent the tailor.,The wir bent the tailor.,e,Transitive,implausible,one,e
83,The apple bit the child.,The appl bit the child.,e,Transitive,implausible,one,e
84,The ingredients blended the chef.,The ingredients blended the chef.,e,Transitive,implausible,one,e
85,The statue carved the sculptor.,The statu carved the sculptor.,e,Transitive,implausible,one,e
86,The vegetables chopped the chef.,The vegetables chopped the chef.,e,Transitive,implausible,one,e
87,The floor cleaned the cleaner.,The floor cleaned the cleaner.,e,Transitive,implausible,one,e
88,The stamps collected the collector.,The stamps collected the collector.,e,Transitive,implausible,one,e
89,The meat cut the butcher.,The meat cut the butcher.,e,Transitive,implausible,one,e
90,The landscape described the writer.,The landscap described the writer.,e,Transitive,implausible,one,e
91,The building destroyed the crew.,The building destroyed the crew.,e,Transitive,implausible,one,e
92,The house designed the architect.,The hous designed the architect.,e,Transitive,implausible,one,e
93,The cart pushed the student.,The cart pushed the student.,e,Transitive,implausible,one,e
94,The portrait drew the artist.,The portrait drew the artist.,e,Transitive,implausible,one,e
95,The concept memorized the teacher.,The concept memorized the teacher.,e,Transitive,implausible,one,e
96,The metal flattened the blacksmith.,The metal flattened the blacksmith.,e,Transitive,implausible,one,e
97,The paper folded the artist.,The paper folded the artist.,e,Transitive,implausible,one,e
98,The nail hammered the carpenter.,The nail hammered the carpenter.,e,Transitive,implausible,one,e
99,The system hacked the hacker.,The system hacked the hacker.,e,Transitive,implausible,one,e
100,The wall hit the boxer.,The wall hit the boxer.,e,Transitive,implausible,one,e
101,The ball kicked the player.,The ball kicked the player.,e,Transitive,implausible,one,e
102,The door knocked the burglar.,The door knocked the burglar.,e,Transitive,implausible,one,e
103,The bread made the baker.,The bread made the baker.,e,Transitive,implausible,one,e
104,The metal pounded the blacksmith.,The metal pounded the blacksmith.,e,Transitive,implausible,one,e
105,The cars produced the factory.,The cars produced the factory.,e,Transitive,implausible,one,e
106,The environment protected the man.,The environment protected the man.,e,Transitive,implausible,one,e
107,The sandbag punched the boxer.,The sandbag punched the boxer.,e,Transitive,implausible,one,e
108,The magazine read the boy.,The magazin read the boy.,e,Transitive,implausible,one,e
109,The wood sawed the carpenter.,The wood sawed the carpenter.,e,Transitive,implausible,one,e
110,The life saved the firefighter.,The lif saved the firefighter.,e,Transitive,implausible,one,e
111,The window shattered the vandal.,The window shattered the vandal.,e,Transitive,implausible,one,e
112,The sail slashed the pirate.,The sail slashed the pirate.,e,Transitive,implausible,one,e
113,The bread sliced the chef.,The bread sliced the chef.,e,Transitive,implausible,one,e
114,The toy smashed the child.,The toy smashed the child.,e,Transitive,implausible,one,e
115,The ball squashed the squash player.,The ball squashed the squash player.,e,Transitive,implausible,one,e
116,The idea suggested the boxer.,The idea suggested the boxer.,e,Transitive,implausible,one,e
117,The class skipped the student.,The class skipped the student.,e,Transitive,implausible,one,e
118,The canvas touched the artist.,The canvas touched the artist.,e,Transitive,implausible,one,e
119,The knife used the chef.,The knif used the chef.,e,Transitive,implausible,one,e
120,The water wasted the person.,The water wasted the person.,e,Transitive,implausible,one,e
121,The bookshelf assembled the carpenter.,The bookshelf assembled the carpenter.,e,Transitive,implausible,one,e
122,The mat bent the instructor.,The mat bent the instructor.,e,Transitive,implausible,one,e
123,The chocolate bit the child.,The chocolat bit the child.,e,Transitive,implausible,one,e
124,The cocktail blended the bartender.,The cocktail blended the bartender.,e,Transitive,implausible,one,e
125,The statue carved the girl.,The statu carved the girl.,e,Transitive,implausible,one,e
126,The onions chopped the chef.,The onions chopped the chef.,e,Transitive,implausible,one,e
127,The windows cleaned the cleaner.,The windows cleaned the cleaner.,e,Transitive,implausible,one,e
128,The coins collected the collector.,The coins collected the collector.,e,Transitive,implausible,one,e
129,The fabric cut the tailor.,The fabric cut the tailor.,e,Transitive,implausible,one,e
130,The monument described the guide.,The monument described the guide.,e,Transitive,implausible,one,e
131,The facility destroyed the crew.,The faciliti destroyed the crew.,e,Transitive,implausible,one,e
132,The logo designed the designer.,The logo designed the designer.,e,Transitive,implausible,one,e
133,The button pushed the student.,The button pushed the student.,e,Transitive,implausible,one,e
134,The landscape drew the artist.,The landscap drew the artist.,e,Transitive,implausible,one,e
135,The lines memorized the lines.,The lines memorized the lines.,e,Transitive,implausible,one,e
136,The plate flattened the ironworker.,The plat flattened the ironworker.,e,Transitive,implausible,one,e
137,The crane folded the artist.,The cran folded the artist.,e,Transitive,implausible,one,e
138,The metal hammered the blacksmith.,The metal hammered the blacksmith.,e,Transitive,implausible,one,e
139,The computer hacked the kid.,The computer hacked the kid.,e,Transitive,implausible,one,e
140,The bag hit the lady.,The bag hit the lady.,e,Transitive,implausible,one,e
141,The wall kicked the guy.,The wall kicked the guy.,e,Transitive,implausible,one,e
142,The door knocked the student.,The door knocked the student.,e,Transitive,implausible,one,e
143,The cake made the baker.,The cak made the baker.,e,Transitive,implausible,one,n
144,The metal pounded the worker.,The metal pounded the worker.,e,Transitive,implausible,one,e
145,The smartphones produced the factory.,The smartphones produced the factory.,e,Transitive,implausible,one,e
146,The building protected the soldiers.,The building protected the soldiers.,e,Transitive,implausible,one,n
147,The locker punched the boxer.,The locker punched the boxer.,e,Transitive,implausible,one,e
148,The novel read the student.,The novel read the student.,e,Transitive,implausible,one,e
149,The timber sawed the carpenter.,The timber sawed the carpenter.,e,Transitive,implausible,one,e
150,The money saved the firefighter.,The monei saved the firefighter.,e,Transitive,implausible,one,e
151,The window shattered the vandals.,The window shattered the vandals.,e,Transitive,implausible,one,e
152,The sail slashed the pirate.,The sail slashed the pirate.,e,Transitive,implausible,one,e
153,The tomato sliced the chef.,The tomato sliced the chef.,e,Transitive,implausible,one,e
154,The toy car smashed the child.,The toy car smashed the child.,e,Transitive,implausible,one,e
155,The ball squashed the player.,The ball squashed the player.,e,Transitive,implausible,one,e
156,The policy suggested the manager.,The police suggested the manager.,e,Transitive,implausible,one,e
157,The party skipped the student.,The party skipped the student.,e,Transitive,implausible,one,e
158,The canvas touched the artist.,The canvas touched the artist.,e,Transitive,implausible,one,e
159,The blender used the chef.,The blender used the chef.,e,Transitive,implausible,one,e
160,The electricity wasted the person.,The th electricitied waste the person.,e,Transitive,implausible,one,e
161,The engine was assembled by the mechanic.,The engine was assembled by the mechanic.,e,Passive,plausible,one,e
162,The wire was bent by the tailor.,The wire was bent by the tailor.,e,Passive,plausible,one,e
163,The apple was bitten by the child.,The apple was bitten by the child.,e,Passive,plausible,one,e
164,The ingredients were blended by the chef.,The ingredients were blended by the chef.,e,Passive,plausible,one,e
165,The statue was carved by the sculptor.,The statue was carved by the sculptor.,e,Passive,plausible,one,e
166,The vegetables were chopped by the chef.,The vegetables were chopped by the chef.,e,Passive,plausible,one,e
167,The floor was cleaned by the cleaner.,The floor was cleaned by the cleaner.,e,Passive,plausible,one,e
168,The stamps were collected by the collector.,The stamp was collected by the collector.,e,Passive,plausible,one,e
169,The meat was cut by the butcher.,The meat was cut by the butcher.,e,Passive,plausible,one,e
170,The landscape was described by the writer.,The landscape was described by the writer.,e,Passive,plausible,one,e
171,The building was destroyed by the crew.,The building was destroyed by the crew.,e,Passive,plausible,one,e
172,The house was designed by the architect.,The house was designed by the architect.,e,Passive,plausible,one,e
173,The cart was pushed by the student.,The cart was pushed by the student.,e,Passive,plausible,one,e
174,The portrait was drawn by the artist.,The portrait was drawn by the artist.,e,Passive,plausible,one,n
175,The concept was memorized by the teacher.,The concept was memorized by the teacher.,e,Passive,plausible,one,e
176,The metal was flattened by the blacksmith.,The metal was flattened by the blacksmith.,e,Passive,plausible,one,e
177,The paper was folded by the artist.,The paper was folded by the artist.,e,Passive,plausible,one,e
178,The nail was hammered by the carpenter.,The nail was hammered by the carpenter.,e,Passive,plausible,one,e
179,The system was hacked by the hacker.,The system was hacked by the hacker.,e,Passive,plausible,one,e
180,The wall was hit by the boxer.,The wall was hit by the boxer.,e,Passive,plausible,one,e
181,The ball was kicked by the player.,The ball was kicked by the player.,e,Passive,plausible,one,e
182,The door was knocked by the burglar.,The door was knocked by the burglar.,e,Passive,plausible,one,e
183,The bread was made by the baker.,The bread was made by the baker.,e,Passive,plausible,one,e
184,The metal was pounded by the blacksmith.,The metal was pounded by the blacksmith.,e,Passive,plausible,one,e
185,The cars were produced by the factory.,The cars were produced by the factory.,e,Passive,plausible,one,e
186,The environment was protected by the man.,The environment was protected by the man.,e,Passive,plausible,one,e
187,The sandbag was punched by the boxer.,The sandbag was punched by the boxer.,e,Passive,plausible,one,e
188,The magazine was read by the boy.,The magazine was read by the boy.,e,Passive,plausible,one,e
189,The wood was sawed by the carpenter.,The wood was sawed by the carpenter.,e,Passive,plausible,one,e
190,The life was saved by the firefighter.,The life was saved by the firefighter.,e,Passive,plausible,one,e
191,The window was shattered by the vandal.,The window was shattered by the vandal.,e,Passive,plausible,one,e
192,The sail was slashed by the pirate.,The sail was slashed by the pirate.,e,Passive,plausible,one,e
193,The bread was sliced by the chef.,The bread was sliced by the chef.,e,Passive,plausible,one,e
194,The toy was smashed by the child.,The toy was smashed by the child.,e,Passive,plausible,one,e
195,The ball was squashed by the player.,The ball was squashed by the player.,e,Passive,plausible,one,e
196,The idea was suggested by the boxer.,The idea was suggested by the boxer.,e,Passive,plausible,one,e
197,The class was skipped by the student.,The class was skipped by the student.,e,Passive,plausible,one,e
198,The canvas was touched by the artist.,The canvas was touched by the artist.,e,Passive,plausible,one,e
199,The knife was used by the chef.,The knife was used by the chef.,e,Passive,plausible,one,e
200,The water was wasted by the person.,The water was wasted by the person.,e,Passive,plausible,one,e
201,The bookshelf was assembled by the carpenter.,The bookshelf was assembled by the carpenter.,e,Passive,plausible,one,e
202,The mat was bent by the instructor.,The mat was bent by the instructor.,e,Passive,plausible,one,e
203,The chocolate was bitten by the child.,The chocolate was bitten by the child.,e,Passive,plausible,one,e
204,The cocktail was blended by the bartender.,The cocktail was blended by the bartender.,e,Passive,plausible,one,e
205,The statue was carved by the girl.,The statue was carved by the girl.,e,Passive,plausible,one,e
206,The onions were chopped by the chef.,The onions were chopped by the chef.,e,Passive,plausible,one,e
207,The windows were cleaned by the cleaner.,The windows were cleaned by the cleaner.,e,Passive,plausible,one,e
208,The coins were collected by the collector.,The coins were collected by the collector.,e,Passive,plausible,one,e
209,The fabric was cut by the tailor.,The fabric was cut by the tailor.,e,Passive,plausible,one,e
210,The monument was described by the guide.,The monument was described by the guide.,e,Passive,plausible,one,e
211,The building was destroyed by the crew.,The building was destroyed by the crew.,e,Passive,plausible,one,e
212,The logo was designed by the designer.,The logo was designed by the designer.,e,Passive,plausible,one,e
213,The button was pushed by the student.,The button was pushed by the student.,e,Passive,plausible,one,e
214,The landscape was drawn by the artist.,The landscape was drawn by the artist.,e,Passive,plausible,one,e
215,The lines were memorized by the boy.,The lines were memorized by the boy.,e,Passive,plausible,one,e
216,The plate was flattened by the ironworker.,The plate was flattened by the ironworker.,e,Passive,plausible,one,e
217,The crane was folded by the artist.,The crane was folded by the artist.,e,Passive,plausible,one,e
218,The metal was hammered by the blacksmith.,The metal was hammered by the blacksmith.,e,Passive,plausible,one,e
219,The computer was hacked by the kid.,The computer was hacked by the kid.,e,Passive,plausible,one,e
220,The bag was hit by the lady.,The bag was hit by the lady.,e,Passive,plausible,one,e
221,The door was kicked by the guy.,The door was kicked by the guy.,e,Passive,plausible,one,e
222,The door was knocked by the student.,The door was knocked by the student.,e,Passive,plausible,one,e
223,The cake was made by the baker.,The cake was made by the baker.,e,Passive,plausible,one,e
224,The metal was pounded by the worker.,The metal was pounded by the worker.,e,Passive,plausible,one,e
225,The smartphones were produced by the factory.,The smartphones were produced by the factory.,e,Passive,plausible,one,e
226,The building was protected by the soldiers.,The building was protected by the soldiers.,e,Passive,plausible,one,e
227,The locker was punched by the boxer.,The locker was punched by the boxer.,e,Passive,plausible,one,e
228,The kid was rescued by the student.,The kid was rescued by the student.,e,Passive,plausible,one,e
229,The timber was sawed by the carpenter.,The timber was sawed by the carpenter.,e,Passive,plausible,one,e
230,The money was saved by the firefighter.,The money was saved by the firefighter.,e,Passive,plausible,one,e
231,The window was shattered by the vandals.,The window was shattered by the vandals.,e,Passive,plausible,one,e
232,The sail was slashed by the pirate.,The sail was slashed by the pirate.,e,Passive,plausible,one,e
233,The tomato was sliced by the chef.,The tomato was sliced by the chef.,e,Passive,plausible,one,e
234,The toy car was smashed by the child.,The toy car was smashed by the child.,e,Passive,plausible,one,e
235,The ball was squashed by the player.,The ball was squashed by the player.,e,Passive,plausible,one,e
236,The policy was suggested by the manager.,The policy was suggested by the manager.,e,Passive,plausible,one,e
237,The party was skipped by the student.,The party was skipped by the student.,e,Passive,plausible,one,e
238,The canvas was touched by the artist.,The canvas was touched by the artist.,e,Passive,plausible,one,e
239,The blender was used by the chef.,The blender was used by the chef.,e,Passive,plausible,one,e
240,the Electricity was wasted by the person.,the electricity was wasted by the person.,e,Passive,plausible,one,e
241,The mechanic was assembled by the engine.,The mechanic was assembled by the engine.,e,Passive,implausible,one,e
242,The tailor was bent by the wire.,The tailor was bent by the wire.,e,Passive,implausible,one,e
243,The child was bitten by the apple.,The child was bitten by the apple.,e,Passive,implausible,one,e
244,The chef was blended by the ingredients.,The chef was blended by the ingredients.,e,Passive,implausible,one,e
245,The sculptor was carved by the statue.,The sculptor was carved by the statue.,e,Passive,implausible,one,e
246,The chef was chopped by the vegetables.,The chef was chopped by the vegetables.,e,Passive,implausible,one,e
247,The cleaner was cleaned by the floor.,The cleaner was cleaned by the floor.,e,Passive,implausible,one,e
248,The collector was collected by the stamps.,The collector was collected by the stamps.,e,Passive,implausible,one,e
249,The butcher was cut by the meat.,The butcher was cut by the meat.,e,Passive,implausible,one,e
250,The writer was described by the landscape.,The writer was described by the landscape.,e,Passive,implausible,one,e
251,The crew was destroyed by the building.,The crew was destroyed by the building.,e,Passive,implausible,one,e
252,The architect was designed by the house.,The architect was designed by the house.,e,Passive,implausible,one,e
253,The student was pushed by the cart.,The student was pushed by the cart.,e,Passive,implausible,one,e
254,The artist was drawn by the portrait.,The artist was drawn by the portrait.,e,Passive,implausible,one,e
255,The teacher was memorized by the concept.,The teacher was memorized by the concept.,e,Passive,implausible,one,e
256,The blacksmith was flattened by the metal.,The blacksmith was flattened by the metal.,e,Passive,implausible,one,e
257,The artist was folded by the paper.,The artist was folded by the paper.,e,Passive,implausible,one,e
258,The carpenter was hammered by the nail.,The carpenter was hammered by the nail.,e,Passive,implausible,one,e
259,The hacker was hacked by the system.,The hacker was hacked by the system.,e,Passive,implausible,one,n
260,The boxer was hit by the wall.,The boxer was hit by the wall.,e,Passive,implausible,one,e
261,The player was kicked by the ball.,The player was kicked by the ball.,e,Passive,implausible,one,e
262,The burglar was knocked by the door.,The burglar was knocked by the door.,e,Passive,implausible,one,e
263,The baker was made by the bread.,The baker was made by the bread.,e,Passive,implausible,one,e
264,The blacksmith was pounded by the metal.,The blacksmith was pounded by the metal.,e,Passive,implausible,one,e
265,The factory was produced by the cars.,The factory was produced by the cars.,e,Passive,implausible,one,e
266,The man was protected by the environment.,The man was protected by the environment.,e,Passive,implausible,one,e
267,The boxer was punched by the sandbag.,The boxer was punched by the sandbag.,e,Passive,implausible,one,e
268,The boy was read by the magazine.,The boy was read by the magazine.,e,Passive,implausible,one,e
269,The carpenter was sawed by the wood.,The carpenter was sawed by the wood.,e,Passive,implausible,one,e
270,The firefighter was saved by the life.,The firefighter was saved by the life.,e,Passive,implausible,one,e
271,The vandal was shattered by the window.,The vandal was shattered by the window.,e,Passive,implausible,one,e
272,The pirate was slashed by the sail.,The pirate was slashed by the sail.,e,Passive,implausible,one,e
273,The chef was sliced by the bread.,The chef was sliced by the bread.,e,Passive,implausible,one,e
274,The child was smashed by the toy.,The child was smashed by the toy.,e,Passive,implausible,one,e
275,The player was squashed by the ball.,The player was squashed by the ball.,e,Passive,implausible,one,e
276,The boxer was suggested by the idea.,The boxer was suggested by the idea.,e,Passive,implausible,one,e
277,The student was skipped by the class.,The student was skipped by the class.,e,Passive,implausible,one,e
278,The artist was touched by the canvas.,The artist was touched by the canvas.,e,Passive,implausible,one,e
279,The chef was used by the knife.,The chef was used by the knife.,e,Passive,implausible,one,e
280,The person was wasted by the water.,The person was wasted by the water.,e,Passive,implausible,one,e
281,The carpenter was assembled by the bookshelf.,The carpenter was assembled by the bookshelf.,e,Passive,implausible,one,e
282,The instructor was bent by the mat.,The instructor was bent by the mat.,e,Passive,implausible,one,e
283,The child was bitten by the chocolate.,The child was bitten by the chocolate.,e,Passive,implausible,one,e
284,The bartender was blended by the cocktail.,The bartender was blended by the cocktail.,e,Passive,implausible,one,e
285,The girl was carved by the statue.,The girl was carved by the statue.,e,Passive,implausible,one,n
286,The chef was chopped by the onions.,The chef was chopped by the onions.,e,Passive,implausible,one,e
287,The cleaner was cleaned by the windows.,The cleaner was cleaned by the windows.,e,Passive,implausible,one,e
288,The collector was collected by the coins.,The collector was collected by the coins.,e,Passive,implausible,one,e
289,The tailor was cut by the fabric.,The tailor was cut by the fabric.,e,Passive,implausible,one,e
290,The guide was described by the monument.,The guide was described by the monument.,e,Passive,implausible,one,e
291,The crew was destroyed by the building.,The crew was destroyed by the building.,e,Passive,implausible,one,e
292,The designer was designed by the logo.,The designer was designed by the logo.,e,Passive,implausible,one,e
293,The student was pushed by the button.,The student was pushed by the button.,e,Passive,implausible,one,e
294,The artist was drawn by the landscape.,The artist was drawn by the landscape.,e,Passive,implausible,one,e
295,The boy was memorized by the lines.,The boy was memorized by the lines.,e,Passive,implausible,one,e
296,The ironworker was flattened by the plate.,The ironworker was flattened by the plate.,e,Passive,implausible,one,e
297,The artist was folded by the crane.,The artist was folded by the crane.,e,Passive,implausible,one,e
298,The blacksmith was hammered by the metal.,The blacksmith was hammered by the metal.,e,Passive,implausible,one,e
299,The kid was hacked by the computer.,The kid was hacked by the computer.,e,Passive,implausible,one,e
300,The lady was hit by the bag.,The lady was hit by the bag.,e,Passive,implausible,one,e
301,The guy was kicked by the door.,The guy was kicked by the door.,e,Passive,implausible,one,e
302,The student was knocked by the door.,The student was knocked by the door.,e,Passive,implausible,one,e
303,The baker was made by the cake.,The baker was made by the cake.,e,Passive,implausible,one,e
304,The worker was pounded by the metal.,The worker was pounded by the metal.,e,Passive,implausible,one,e
305,The factory was produced by the smartphones.,The factory was produced by the smartphones.,e,Passive,implausible,one,e
306,The soldiers were protected by the building.,The soldiersed protected by the building.,e,Passive,implausible,one,e
307,The boxer was punched by the locker.,The boxer was punched by the locker.,e,Passive,implausible,one,e
308,The student was rescued by the kid.,The student was rescued by the kid.,e,Passive,implausible,one,e
309,The carpenter was sawed by the timber.,The carpenter was sawed by the timber.,e,Passive,implausible,one,e
310,The firefighter was saved by the money.,The firefighter was saved by the money.,e,Passive,implausible,one,e
311,The vandals were shattered by the window.,The vandalsed shattered by the window.,e,Passive,implausible,one,e
312,The pirate was slashed by the sail.,The pirate was slashed by the sail.,e,Passive,implausible,one,e
313,The chef was sliced by the tomato.,The chef was sliced by the tomato.,e,Passive,implausible,one,e
314,The child was smashed by the toy car.,The child was smashed by the toy car.,e,Passive,implausible,one,e
315,The player was squashed by the ball.,The player was squashed by the ball.,e,Passive,implausible,one,e
316,The manager was suggested by the policy.,The manager was suggested by the policy.,e,Passive,implausible,one,e
317,The student was skipped by the party.,The student was skipped by the party.,e,Passive,implausible,one,e
318,The artist was touched by the canvas.,The artist was touched by the canvas.,e,Passive,implausible,one,e
319,The chef was used by the blender.,The chef was used by the blender.,e,Passive,implausible,one,e
320,The person was wasted by theelectricity.,The person was wasted by theelectricity.,e,Passive,implausible,one,e
321,The manager allocated the employees the tasks.,The manager allocated the employees the tasks.,e,DoubleObjectConstruction,plausible,one,e
322,The lady assigned the assistant the project.,The lady assigned the assistant the project.,e,DoubleObjectConstruction,plausible,one,e
323,The committee awarded the athlete the trophy.,The committe awarded the athlete the trophy.,e,DoubleObjectConstruction,plausible,one,e
324,The boy brought the friend the souvenir.,The boy brought the friend the souvenir.,e,DoubleObjectConstruction,plausible,one,e
325,The colleague emailed the team the agenda.,The colleague emailed the team the agenda.,e,DoubleObjectConstruction,plausible,one,e
326,The company extended the client the extension.,The company extended the client the extension.,e,DoubleObjectConstruction,plausible,one,e
327,The secretary faxed the supervisor the document.,The secretary faxed the supervisor the document.,e,DoubleObjectConstruction,plausible,one,e
328,The student fed the ducks the meal.,The student fed the ducks the meal.,e,DoubleObjectConstruction,plausible,one,e
329,The coworker forwarded the client the email.,The coworker forwarded the client the email.,e,DoubleObjectConstruction,plausible,one,e
330,The employee gave the sister the book.,The employee gave the sister the book.,e,DoubleObjectConstruction,plausible,one,e
331,The foundation granted the organization the funding.,The foundation granted the organization the funding.,e,DoubleObjectConstruction,plausible,one,e
332,The waiter handed the customer the menu.,The waiter handed the customer the menu.,e,DoubleObjectConstruction,plausible,one,e
333,The teacher hauled the friend the groceries.,The teacher hauled the friend the groceries.,e,DoubleObjectConstruction,plausible,one,e
334,The government issued the citizens the cards.,The government issued the citizens the cards.,e,DoubleObjectConstruction,plausible,one,e
335,The man lent the neighbor the ladder.,The man lent the neighbor the ladder.,e,DoubleObjectConstruction,plausible,one,e
336,The landlord leased the tenant the apartment.,The landlord leased the tenant the apartment.,e,DoubleObjectConstruction,plausible,one,e
337,The worker left the colleague the note.,The worker left the colleague the note.,e,DoubleObjectConstruction,plausible,one,e
